train_rmse,val_rmse,train_r2,val_r2
0.37743285,0.28040037,0.20744344355255084,0.5414629542076035
0.2965004,0.28131267,0.5108957330336265,0.5384743802363041
0.26065037,0.2650594,0.6220211070971431,0.5902644562859414
0.23902315,0.27570695,0.6821437028366543,0.5566847818443139
0.22223677,0.25660816,0.7252215245389833,0.6159762222463409
0.20524962,0.2685703,0.7656226485929255,0.5793380586245402
0.19243011,0.25767848,0.7939858800701284,0.6127659771023135
0.1811728,0.2656832,0.8173847987041513,0.588333625556208
0.16971888,0.26913393,0.8397451545064435,0.5775706380706017
0.15843785,0.26317576,0.8603410694213439,0.5960673170931761
